Ticker,mention_count,avg_sentiment,total_sentiment
AAP,923,0.11375947995666305,105
AT,581,0.25989672977624784,151
IT,541,0.24584103512014788,133
OUT,325,0.48307692307692307,157
LONG,266,0.6240601503759399,166
IF,249,0.27710843373493976,69
NOW,241,0.2863070539419087,69
GOOD,230,0.5304347826086957,122
HAS,228,0.22807017543859648,52
MORE,213,0.19248826291079812,41
SOME,212,0.5094339622641509,108
GOOG,211,0.2890995260663507,61
BAC,205,0.5219512195121951,107
NICE,196,0.7755102040816326,152
TIME,172,0.23255813953488372,40
ALL,166,0.46987951807228917,78
SO,163,0.38650306748466257,63
AN,160,0.45,72
ONE,157,0.27388535031847133,43
BIG,128,0.4375,56
NFX,117,0.1794871794871795,21
AMZN,107,0.12149532710280374,13
INTO,102,0.39215686274509803,40
RT,100,-0.14,-14
LINE,96,0.5833333333333334,56
LOW,94,-0.0425531914893617,-4
AMID,93,-0.3118279569892473,-29
TREND,88,0.1590909090909091,14
TOO,88,0.22727272727272727,20
DDD,87,0.47126436781609193,41
CASH,87,0.12643678160919541,11
BEEN,82,0.4634146341463415,38
DO,79,0.31645569620253167,25
IM,77,0.2727272727272727,21
LOOK,77,0.5584415584415584,43
IMO,71,0.38028169014084506,27
GS,70,0.4,28
FULL,68,0.7352941176470589,50
AM,66,0.5151515151515151,34
RUN,65,0.7230769230769231,47
ED,62,0.3870967741935484,24
MAKE,59,0.4915254237288136,29
CALL,57,0.5087719298245614,29
ZNGA,55,0.7090909090909091,39
CAT,55,-0.5636363636363636,-31
NEWS,52,0.2692307692307692,14
ALSO,51,0.5294117647058824,27
ANY,51,0.17647058823529413,9
POST,50,0.36,18
TGT,50,0.16,8
PLAY,48,0.7083333333333334,34
MANY,47,-0.06382978723404255,-3
AAPL,47,0.23404255319148937,11
JPM,46,0.17391304347826086,8
PAY,45,-0.022222222222222223,-1
MOST,44,0.22727272727272727,10
SSYS,43,-0.2558139534883721,-11
MIN,42,0.5238095238095238,22
TWO,41,0.3170731707317073,13
MA,41,0.36585365853658536,15
FB,40,0.45,18
DE,40,-0.1,-4
BID,40,-0.1,-4
GD,40,0.25,10
JCP,39,-0.4358974358974359,-17
HUGE,39,0.6410256410256411,25
BEST,38,0.47368421052631576,18
BOTH,38,0.5263157894736842,20
CF,37,-0.24324324324324326,-9
KEY,36,0.4444444444444444,16
NG,36,0.8333333333333334,30
NVDA,36,0.8333333333333334,30
MCP,35,-0.14285714285714285,-5
YHOO,34,0.4117647058823529,14
MSFT,34,0.23529411764705882,8
BBY,34,0.29411764705882354,10
FLOW,31,-0.4838709677419355,-15
FUND,31,0.0967741935483871,3
HPQ,31,0.7419354838709677,23
RS,30,0.13333333333333333,4
FCX,28,-0.35714285714285715,-10
DATA,28,0.07142857142857142,2
EBAY,28,0.42857142857142855,12
GOLD,28,-0.14285714285714285,-4
GPN,27,0.037037037037037035,1
AWAY,27,0.1111111111111111,3
COST,27,0.4074074074074074,11
BIT,27,0.48148148148148145,13
WMT,26,-0.15384615384615385,-4
CHK,26,0.7692307692307693,20
AGO,26,0.5384615384615384,14
CS,25,-0.04,-1
CST,25,0.92,23
HE,25,0.28,7
FAST,25,0.04,1
PUSH,24,0.5,12
APP,24,0.5833333333333334,14
HOT,24,0.3333333333333333,8
OI,24,0.25,6
PCN,24,0.25,6
IBM,23,0.4782608695652174,11
CM,23,-0.21739130434782608,-5
DECK,23,0.4782608695652174,11
AVG,23,0.5652173913043478,13
MTG,22,-0.36363636363636365,-8
MS,22,0.09090909090909091,2
ONCE,22,0.2727272727272727,6
MAR,22,0.45454545454545453,10
JOBS,22,-0.7272727272727273,-16
CEE,22,-0.36363636363636365,-8
APO,21,-0.047619047619047616,-1
SWHC,21,1.0,21
PER,21,0.5238095238095238,11
EVER,21,0.42857142857142855,9
WFC,21,0.5238095238095238,11
IDEA,21,0.23809523809523808,5
QCOM,21,0.6190476190476191,13
STAY,21,0.14285714285714285,3
CO,20,0.6,12
ES,20,-0.7,-14
INVN,20,0.4,8
PM,20,0.7,14
GEVO,19,0.8947368421052632,17
FREE,19,-0.05263157894736842,-1
VIA,19,0.47368421052631576,9
OC,19,0.2631578947368421,5
EOD,18,0.2222222222222222,4
CEO,18,0.3333333333333333,6
PE,18,0.4444444444444444,8
