Text,Sentiment,Ticker
kickers on my watchlist xide tit soq pnk cpw bpz aj trade method 1 or method 2 see previous posts,1,PNK
kickers on my watchlist xide tit soq pnk cpw bpz aj trade method 1 or method 2 see previous posts,1,BPZ
aap movie 55 percent return for the fea and geed indicator just 15 trades for the year awesome,1,AAP
id be afraid to short amzn to they are looking like a near monopoly in ebooks and infrastructure as a service,1,AMZN
mnta over 12.00,1,MNTA
oi over 21.37,1,OI
pgnx over 3.04,1,PGNX
aap to if so then the current downtrend will break otherwise just a short term correction in med term downtrend,-1,AAP
aap to if so then the current downtrend will break otherwise just a short term correction in med term downtrend,-1,IF
aap to if so then the current downtrend will break otherwise just a short term correction in med term downtrend,-1,SO
aap to if so then the current downtrend will break otherwise just a short term correction in med term downtrend,-1,MED
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,WIN
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,TAP
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,ICE
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,INT
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,AON
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,CHK
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1,BIIB
goog to ower trend line channel test and volume support,1,GOOG
goog to ower trend line channel test and volume support,1,TREND
goog to ower trend line channel test and volume support,1,LINE
aap will watch tomorrow for ong entry,1,AAP
im assuming fcx opens tomorrow above the 34.25 trigger buy still very much like this setup,1,IM
im assuming fcx opens tomorrow above the 34.25 trigger buy still very much like this setup,1,FCX
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,1,IT
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,1,NOW
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,1,TIME
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,1,BAC
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,1,JPM
aap gamcos arry haverty apple is extremely cheap great video,1,AAP
aap gamcos arry haverty apple is extremely cheap great video,1,ARRY
maykiljil posted that i agree that msft is going higher and possibly north of 30,1,MSFT
momentum is coming back to etfc broke 200 moving average resistance on solid volume friday ong set up,1,ETFC
ha hitting 35.65 means resume targeting 42 level,1,HA
gameplan shot for today but i liked on trend break from may or cup and handle break oc weekly trend break back to july 2011,1,TREND
gameplan shot for today but i liked on trend break from may or cup and handle break oc weekly trend break back to july 2011,1,OC
gameplan shot for today but i liked on trend break from may or cup and handle break oc weekly trend break back to july 2011,1,TREND
with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,FCX
with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,AT
with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,AN
great list again particularly like fisv and syk all buy and hold types should check the free list out,1,FISV
great list again particularly like fisv and syk all buy and hold types should check the free list out,1,SYK
great list again particularly like fisv and syk all buy and hold types should check the free list out,1,ALL
great list again particularly like fisv and syk all buy and hold types should check the free list out,1,FREE
great list again particularly like fisv and syk all buy and hold types should check the free list out,1,OUT
athx upper trend line,1,ATHX
athx upper trend line,1,TREND
athx upper trend line,1,LINE
ng to nice pnf by to breakout to need follow thru,1,NG
ng to nice pnf by to breakout to need follow thru,1,NICE
ng to nice pnf by to breakout to need follow thru,1,PNF
wont believe aap uptrend is back until it crosses above 50 moving average,-1,AAP
wont believe aap uptrend is back until it crosses above 50 moving average,-1,IT
swy 30 percent of float short and breaking out to ouch,1,OUT
vs inverted head and shoulder play out well wasnt able to catch the entry eyes on it,1,PLAY
vs inverted head and shoulder play out well wasnt able to catch the entry eyes on it,1,OUT
vs inverted head and shoulder play out well wasnt able to catch the entry eyes on it,1,EYES
vs inverted head and shoulder play out well wasnt able to catch the entry eyes on it,1,IT
red not ready for break out,-1,OUT
ei close to breaking out now my trigger is at 30.40,1,OUT
ei close to breaking out now my trigger is at 30.40,1,NOW
ei close to breaking out now my trigger is at 30.40,1,AT
bac for a quick trade to late but for investing 11.98 is a good entry point in my opinion,1,BAC
bac for a quick trade to late but for investing 11.98 is a good entry point in my opinion,1,GOOD
chdn to ong 49.02 trailing stop 56.66 from 6 prior stops of 54.17 49.88 49.82 45.47 43.02 and 41.92,1,CHDN
aap vome today is impressive at this rate and well probably get to 30 million shares traded today,1,AAP
aap vome today is impressive at this rate and well probably get to 30 million shares traded today,1,AT
aap vome today is impressive at this rate and well probably get to 30 million shares traded today,1,RATE
been adding vxy long off the bottom today for trade also got wpi near low,-1,BEEN
been adding vxy long off the bottom today for trade also got wpi near low,-1,LONG
been adding vxy long off the bottom today for trade also got wpi near low,-1,ALSO
been adding vxy long off the bottom today for trade also got wpi near low,-1,LOW
i repeat if global economy is going to get better this year go with c instead of bac,1,IF
i repeat if global economy is going to get better this year go with c instead of bac,1,BAC
goog go ong on close above 725,1,GOOG
nkd looking like a good short failed to break price level resistance at 116 today,-1,GOOD
nkd looking like a good short failed to break price level resistance at 116 today,-1,AT
gs like the price action so far holding above 130 still deciding whether to go ong calls or stocks,1,GS
gs like the price action so far holding above 130 still deciding whether to go ong calls or stocks,1,SO
sbx buy when it clears resistance at 54.5,1,IT
sbx buy when it clears resistance at 54.5,1,AT
here is new up target for aap and notice shakeout reading at negative 8.49 and we had buy dot monday,1,AAP
here is new up target for aap and notice shakeout reading at negative 8.49 and we had buy dot monday,1,AT
too early to short into this move stock market needs a few days to settle down coh bwd dt aap pay,-1,TOO
too early to short into this move stock market needs a few days to settle down coh bwd dt aap pay,-1,INTO
too early to short into this move stock market needs a few days to settle down coh bwd dt aap pay,-1,COH
too early to short into this move stock market needs a few days to settle down coh bwd dt aap pay,-1,AAP
too early to short into this move stock market needs a few days to settle down coh bwd dt aap pay,-1,PAY
aap obbers hit apple store in paris prefer to take merchendise over cash bullish,1,AAP
aap obbers hit apple store in paris prefer to take merchendise over cash bullish,1,CASH
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1,NOW
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1,DO
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1,SIGN
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1,IF
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1,IM
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1,EAT
x out the .5 due to the move today and the kirby on the daily around 26.00 still swinging .5,1,OUT
aap 10 min short won now longs have fully added in look for a pop here with market shakeout reset,1,AAP
