Text,Sentiment,Tickers
bac keep overniight mmy pos will bin premarket tmorrow too,1,['BIN']
polk expects 2013 s new vehicle egistrations to each 15.3 million to polk f gm i think this is low,1,['GM']
jcp keep an eye on this triangle big short int 34 percent reports feb 27 cup and handle at dt ong,1,['JCP']
nice cup with handle breakout on mca,1,['MCA']
csx enko view pf box size equals 1 vey bullish above 21 coal stocks confirming move on rails,1,['CSX']
coh also got rejected by cloud but still in slight uptrend for past few buy when it enters cloud,1,['COH']
a few im not holding but will check out bullish macd cross bbg cop eni eog jec ig sfy xe xop,1,['ENI']
cva over 19.00,1,['CVA']
ford will perform well due to hurricane sandys destruction f palladium will do well pa banks are a buy picks are bac c san gs,1,['FORD']
i wish tv would die already like all the newspapers told me cbs ftw,1,['CBS']
won gold in our 2011 stock contest w v won silver in 2012 w tkc will his ddaif call win in 2013,1,['TKC']
cs kos positive nice reversal in kos,1,"['KOS', 'KOS']"
pcn to long entry,1,['PCN']
green weekly triangle on ampe sell short at 4.15,-1,['AMPE']
ssys operational cash flow declined 42 percent ttm vs ttm,-1,['SSYS']
ssys eached si 80 percent crash is near,-1,['SSYS']
green weekly triangle on hban sell short at 6.69,-1,['HBAN']
swhc will continue to accumulate more mar 9 calls on any pull back below 8.10,1,['SWHC']
cof is approaching key resistance level at 62.92 a break of which could accelerate the stock price,1,['COF']
jcp cash flow distress that doesnt sound very good bs downgrade to sell,-1,['JCP']
nkd following fb lead un to 122 to 124 before more resistance,1,['UN']
pcn wait for that close above 662 to 663 to get involved in this name and watch for vome to confirm uptrend continuation,1,['PCN']
xraystocktrader great dividend pay and continued upside eager to see the next acquisitions cvx,1,['CVX']
csco msh msh msh 21.00 cmon mon,1,['CSCO']
green weekly triangle on sonc sell short at 10.96,-1,['SONC']
ssys website investor relation page uses morningstar stats to quote mkt cap mon statistics are wrong there r more shares out way more,-1,['SSYS']
abc 123 clearing up and out of a nice base pjp spx spy,1,['ABC']
nvda is a growing cash cow with a 20 p t by eoy 2013 to 2014 xk amd stx qcom intc,1,['NVDA']
